HEADING,PITCH,ROLL,TEMP,DEPTH,Ax,Ay,Az,Vh,NetV,NetA
86.5,-0.20000076,0.19999695,0,0.0,4.906736E-4,-0.006490604,0.0010001133,0.0032545622,0.018473104,-0.0010000467
86.4,-0.30000114,0.5,0,0.0,0.004235997,-0.016726537,-0.0014905175,0.008627293,0.022075644,-0.0020000339
86.4,-0.30000114,0.5,0,0.0,0.004235997,-0.016726537,-0.0014905175,0.008627293,0.02504155,-0.003000021
86.9,-0.6000004,0.3999939,0,0.0,0.0044718077,-0.011981156,0.0074906447,0.0063942387,0.028510205,-0.0020000339
86.0,-0.10000038,0.3999939,0,0.0,0.001745335,-0.012981158,-0.0072357925,0.0065489816,0.030908417,9.999275E-4
85.5,0.19999886,0.69999695,0,0.0,5.0937664E-4,-0.023216948,-0.01870754,0.011611268,0.031387925,-0.0010000467
85.8,0.0,0.5,0,0.0,0.0010000169,-0.016726537,-0.0127265435,0.008378202,0.030766929,0.0019999743
85.5,0.19999886,0.5,0,0.0,0.0015093936,-0.016726537,-0.017217163,0.008397251,0.028869303,0.0
85.5,0.19999886,0.5,0,0.0,0.0015093936,-0.015726535,-0.016217176,0.007899402,0.025948852,0.0
85.8,0.099998474,0.19999695,0,0.0,0.0012547193,-0.006490604,-0.008235861,0.003305384,0.02267404,0.0
85.8,0.099998474,0.19999695,0,0.0,0.0012547193,-0.0074905986,-0.006235887,0.0037974787,0.01921416,-0.0020000339
85.8,0.099998474,0.19999695,0,0.0,0.0022547063,-0.006490604,-0.004235853,0.003435536,0.015708636,-0.003000021
85.8,0.099998474,0.19999695,0,0.0,0.0042547104,-0.005490602,-0.0032358659,0.0034730844,0.012218093,-0.005000055
85.3,0.29999924,0.19999695,0,0.0,0.0037640529,-0.0074905986,-0.0097265355,0.0041915737,0.008399338,-0.005000055
85.3,0.29999924,0.19999695,0,0.0,0.0037640529,-0.0074905986,-0.008726548,0.0041915737,0.004335195,-0.005000055
85.3,0.29999924,0.19999695,0,0.0,0.0027640657,-0.008490601,-0.008726548,0.004464593,4.903134E-5,-0.005000055
85.3,0.29999924,0.3999939,0,0.0,0.00476407,-0.012981158,-0.011217058,0.0069138776,-0.004355727,-0.006000042
85.3,0.29999924,0.3999939,0,0.0,0.0037640529,-0.013981152,-0.011217058,0.0072394875,-0.008760486,-0.006000042
85.3,0.19999886,0.5,0,0.0,0.0035093678,-0.017726539,-0.01121712,0.00903529,-0.013165248,-0.006000042
85.4,0.19999886,0.5,0,0.0,0.0035093678,-0.01872654,-0.009217146,0.009526266,-0.017474772,-0.008000076
85.0,0.39999962,0.5,0,0.0,0.0030187666,-0.01872654,-0.015707789,0.009484149,-0.022093376,-0.006000042
85.3,0.19999886,0.5,0,0.0,0.0035093678,-0.017726539,-0.012217167,0.00903529,-0.02654576,-0.0040000677
85.1,0.19999886,0.69999695,0,0.0,0.0045093847,-0.02421695,-0.01870754,0.012316607,-0.03130721,-0.003000021
85.4,0.19999886,0.69999695,0,0.0,0.0025093807,-0.023216948,-0.015707579,0.011676083,-0.0359258,-0.005000055
85.4,0.19999886,0.69999695,0,0.0,0.0025093807,-0.023216948,-0.016707566,0.011676083,-0.040592015,-0.0040000677
85.2,0.19999886,0.69999695,0,0.0,0.0035093678,-0.023216948,-0.016707566,0.01174034,-0.045258228,-0.0040000677
85.2,0.19999886,0.69999695,0,0.0,0.0035093678,-0.023216948,-0.016707566,0.01174034,-0.04992444,-0.0040000677
85.2,0.19999886,0.69999695,0,0.0,0.0035093678,-0.023216948,-0.016707566,0.01174034,-0.054590654,-0.0040000677
85.1,0.19999886,0.69999695,0,0.0,0.0045093847,-0.023216948,-0.017707553,0.01182541,-0.059304483,-0.0040000677
84.9,0.39999962,0.69999695,0,0.0,0.0010187626,-0.025216952,-0.02319821,0.0126187615,-0.06427977,-0.0020000339
85.1,0.39999962,0.69999695,0,0.0,1.874566E-5,-0.02421695,-0.02319821,0.012108479,-0.06925506,-0.0020000339
84.9,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.025943482,0.013981123,-0.07436108,-0.0010000467
84.9,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.025943482,0.013981123,-0.079467095,0.0
84.9,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.02694347,0.013981123,-0.08462073,0.0
84.9,0.39999962,0.80000305,0,0.0,0.0010187626,-0.02796224,-0.025943482,0.013990397,-0.089726746,-0.0010000467
84.9,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.025943482,0.013981123,-0.09483276,0.0
84.9,0.39999962,0.80000305,0,0.0,1.874566E-5,-0.02796224,-0.02694347,0.013981123,-0.0999864,0.0
84.9,0.39999962,0.80000305,0,0.0,-9.812415E-4,-0.02796224,-0.027943457,0.013989725,-0.105187654,9.999275E-4
84.9,0.39999962,0.80000305,0,0.0,-9.812415E-4,-0.028962234,-0.027943457,0.014489425,-0.110388905,9.999275E-4
84.9,0.39999962,0.8999939,0,0.0,-9.812415E-4,-0.03070721,-0.029688433,0.015361442,-0.11567325,9.999275E-4
84.9,0.39999962,0.8999939,0,0.0,-9.812415E-4,-0.031707212,-0.028688446,0.015861196,-0.12090998,9.999275E-4
84.9,0.39999962,0.8999939,0,0.0,-9.812415E-4,-0.031707212,-0.028688446,0.015861196,-0.1261467,9.999275E-4
84.9,0.39999962,0.8999939,0,0.0,-9.812415E-4,-0.032707214,-0.028688446,0.016360965,-0.13138343,0.0
84.9,0.39999962,1.0999908,0,0.0,-9.812415E-4,-0.037197284,-0.03217852,0.018605113,-0.13678636,9.999275E-4
84.9,0.39999962,1.0999908,0,0.0,-9.812415E-4,-0.037197284,-0.03217852,0.018605113,-0.14218928,9.999275E-4
84.9,0.39999962,1.0999908,0,0.0,-9.812415E-4,-0.037197284,-0.03317851,0.018605113,-0.14763983,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.037197284,-0.030433215,0.018602567,-0.15295964,0.0
84.9,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.037197284,-0.030433215,0.018602567,-0.15827946,0.0
84.9,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.03619729,-0.030433215,0.018102676,-0.16359928,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.037197284,-0.031433202,0.018602567,-0.16896671,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.03619729,-0.030433215,0.018099029,-0.17428653,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.03619729,-0.030433215,0.018102676,-0.17960635,0.0
84.9,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.035197288,-0.030433215,0.01760279,-0.18492617,0.0
84.9,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.035197288,-0.030433215,0.01760279,-0.19024599,0.0
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.035197288,-0.030433215,0.017599039,-0.1955658,0.0
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.03619729,-0.029433228,0.018099029,-0.200838,0.0
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.037197284,-0.030433215,0.018599017,-0.20615782,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.037197284,-0.030433215,0.018599017,-0.21147764,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.03619729,-0.030433215,0.018099029,-0.21679746,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.037197284,-0.029433228,0.018599017,-0.22206965,0.0
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.037197284,-0.030433215,0.018599017,-0.22738947,0.0
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.03619729,-0.030433215,0.018099029,-0.23270929,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.037197284,-0.030433215,0.018599017,-0.23802911,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,-2.3592543E-4,-0.03619729,-0.030433215,0.018099029,-0.24334893,9.999275E-4
84.9,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.03619729,-0.031433202,0.018102676,-0.24871635,9.999275E-4
84.8,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.03619729,-0.031433202,0.018102676,-0.25408378,9.999275E-4
84.8,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.035197288,-0.030433215,0.01760279,-0.2594036,9.999275E-4
84.8,0.29999924,1.0999908,0,0.0,7.640617E-4,-0.03619729,-0.031433202,0.018102676,-0.264771,9.999275E-4
84.8,0.29999924,1.0999908,0,0.0,0.0017640488,-0.035197288,-0.031433202,0.017620733,-0.27013844,9.999275E-4
84.8,0.29999924,1.0,0,0.0,0.0017640488,-0.033452407,-0.029688325,0.016749443,-0.27542278,9.999275E-4
84.8,0.29999924,1.0,0,0.0,0.0017640488,-0.032452404,-0.029688325,0.016250158,-0.28070712,9.999275E-4
84.7,0.39999962,1.0,0,0.0,1.874566E-5,-0.032452404,-0.031433627,0.016226204,-0.28607458,9.999275E-4
84.7,0.39999962,1.0,0,0.0,1.874566E-5,-0.032452404,-0.031433627,0.016226204,-0.29144204,9.999275E-4
84.7,0.39999962,1.0,0,0.0,1.874566E-5,-0.032452404,-0.031433627,0.016226204,-0.2968095,9.999275E-4
84.7,0.39999962,1.0,0,0.0,1.874566E-5,-0.03145241,-0.032433614,0.015726209,-0.30222458,0.0019999743
84.7,0.39999962,1.0,0,0.0,1.874566E-5,-0.03145241,-0.031433627,0.015726209,-0.30759203,0.0019999743
84.7,0.39999962,1.0,0,0.0,1.874566E-5,-0.03145241,-0.032433614,0.015726209,-0.31300712,0.0019999743
84.7,0.39999962,1.0,0,0.0,1.874566E-5,-0.03145241,-0.032433614,0.015726209,-0.3184222,9.999275E-4
84.7,0.39999962,1.0,0,0.0,1.874566E-5,-0.03145241,-0.031433627,0.015726209,-0.32378966,9.999275E-4
84.7,0.39999962,0.8999939,0,0.0,1.874566E-5,-0.029707216,-0.029688433,0.014853611,-0.329074,9.999275E-4
84.7,0.39999962,0.8999939,0,0.0,1.874566E-5,-0.029707216,-0.029688433,0.014853611,-0.33435833,9.999275E-4
84.7,0.39999962,0.8999939,0,0.0,1.874566E-5,-0.029707216,-0.03068842,0.014853611,-0.3396903,0.0019999743
84.7,0.39999962,0.8999939,0,0.0,1.874566E-5,-0.03070721,-0.03068842,0.015353608,-0.34502226,9.999275E-4
84.7,0.39999962,0.8999939,0,0.0,1.874566E-5,-0.029707216,-0.029688433,0.014853611,-0.3503066,9.999275E-4
84.7,0.39999962,0.8999939,0,0.0,1.874566E-5,-0.029707216,-0.029688433,0.014853611,-0.35559094,9.999275E-4
84.7,0.39999962,0.8999939,0,0.0,0.0010187626,-0.029707216,-0.029688433,0.01486234,-0.36087528,9.999275E-4
84.7,0.39999962,0.8999939,0,0.0,1.874566E-5,-0.028707214,-0.029688433,0.01435361,-0.36615962,9.999275E-4
